    INFO: 2026-08-12 00:22:23,077:               log.py:   20: Logging to C:\Users\GUEST USER\Documents\spintronics\mdpdf.log
   DEBUG: 2026-08-12 00:22:23,238:      pdf_renderer.py:  470: printSegment: THE HARDER IT IS TO TURN.
   DEBUG: 2026-08-12 00:22:23,239:      pdf_renderer.py:  470: printSegment: THE SYMBOL FOR A SPIN OHM IS 
   DEBUG: 2026-08-12 00:22:23,240:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-08-12 00:22:23,241:      pdf_renderer.py:  470: printSegment: Ω
   DEBUG: 2026-08-12 00:22:23,244:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2026-08-12 00:22:23,245:      pdf_renderer.py:  470: printSegment: Tutorial 2: Build a basic circuit
   DEBUG: 2026-08-12 00:22:23,246:      pdf_renderer.py:  470: printSegment: Let
   DEBUG: 2026-08-12 00:22:23,246:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,248:      pdf_renderer.py:  470: printSegment: s build a basic circuit with a resistor and a battery. Before we can build a circuit with a resistor, we
   DEBUG: 2026-08-12 00:22:23,249:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,250:      pdf_renderer.py:  470: printSegment: ve got to
   DEBUG: 2026-08-12 00:22:23,251:      pdf_renderer.py:  470: printSegment: make the workspace bigger.
   DEBUG: 2026-08-12 00:22:23,252:      pdf_renderer.py:  470: printSegment: Step 1.
   DEBUG: 2026-08-12 00:22:23,254:      pdf_renderer.py:  470: printSegment:  Place a tile in front of the battery.
   DEBUG: 2026-08-12 00:22:23,262:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,272:      pdf_renderer.py:  470: printSegment: src="https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//c5b52f00-7cea-4746-93e7-962e2ebfbd7d/markdown_3/imgs/img_in_image_box_352_442_834_753.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-08-11T07%3A56%3A47Z%2F-1%2F%2F70201094b622c297eefcc6023e0182cf79e96bc462aaf2ee25a7e9da12a6ae38" alt="Image" width="40%" /></div>
   DEBUG: 2026-08-12 00:22:23,273:      pdf_renderer.py:  470: printSegment: Step 2.
   DEBUG: 2026-08-12 00:22:23,275:      pdf_renderer.py:  470: printSegment:  Put a tile connector in the hole between them and twist it a quarter turn using the tile connector tool.
   DEBUG: 2026-08-12 00:22:23,285:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,298:      pdf_renderer.py:  470: printSegment: src="https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//c5b52f00-7cea-4746-93e7-962e2ebfbd7d/markdown_3/imgs/img_in_image_box_139_963_559_1365.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-08-11T07%3A56%3A47Z%2F-1%2F%2F66ef6a50bcab46867d5900b76079939faa0edf7f19b4d84bd8af997489d26f33" alt="Image" width="35%" /></div>
   DEBUG: 2026-08-12 00:22:23,307:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,317:      pdf_renderer.py:  470: printSegment: src="https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//c5b52f00-7cea-4746-93e7-962e2ebfbd7d/markdown_3/imgs/img_in_image_box_621_936_1055_1367.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-08-11T07%3A56%3A47Z%2F-1%2F%2F25ecfa8b9c65a4995f34eef58c5ce254df8f61ecd3a68848785e76437effc228" alt="Image" width="36%" /></div>
   DEBUG: 2026-08-12 00:22:23,318:      pdf_renderer.py:  470: printSegment: Step 3.
   DEBUG: 2026-08-12 00:22:23,320:      pdf_renderer.py:  470: printSegment:  Connect the motor to a 500 Ω resistor with a loop of chain. Most parts have 3 levels. It doesn
   DEBUG: 2026-08-12 00:22:23,321:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,325:      pdf_renderer.py:  470: printSegment: t matter which
   DEBUG: 2026-08-12 00:22:23,327:      pdf_renderer.py:  470: printSegment: one you use, but chains must connect sprockets at the same level.
   DEBUG: 2026-08-12 00:22:23,329:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,331:      pdf_renderer.py:  470: printSegment: src="https://i.imgur.com/coOgXb7.png" alt="Image" width="70%"
   DEBUG: 2026-08-12 00:22:23,332:      pdf_renderer.py:  470: printSegment: /></div>
   DEBUG: 2026-08-12 00:22:23,333:      pdf_renderer.py:  470: printSegment: Step 4.
   DEBUG: 2026-08-12 00:22:23,336:      pdf_renderer.py:  470: printSegment:  After you place a chain loop around sprockets, adjust the tension by sliding one part away from the other.
   DEBUG: 2026-08-12 00:22:23,337:      pdf_renderer.py:  470: printSegment: There should be just a tiny bit of slack in the chain
   DEBUG: 2026-08-12 00:22:23,338:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,339:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,340:      pdf_renderer.py:  470: printSegment:  If it
   DEBUG: 2026-08-12 00:22:23,341:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,342:      pdf_renderer.py:  470: printSegment: s too tight, it will add extra resistance. If it
   DEBUG: 2026-08-12 00:22:23,344:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,345:      pdf_renderer.py:  470: printSegment: s too loose, the
   DEBUG: 2026-08-12 00:22:23,346:      pdf_renderer.py:  470: printSegment: chain will skip.
   DEBUG: 2026-08-12 00:22:23,348:      pdf_renderer.py:  470: printSegment: Step 5.
   DEBUG: 2026-08-12 00:22:23,349:      pdf_renderer.py:  470: printSegment:  Ok, we
   DEBUG: 2026-08-12 00:22:23,350:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,351:      pdf_renderer.py:  470: printSegment: re ready
   DEBUG: 2026-08-12 00:22:23,352:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,353:      pdf_renderer.py:  470: printSegment:  Pull the string and let go. Our first circuit
   DEBUG: 2026-08-12 00:22:23,354:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,355:      pdf_renderer.py:  470: printSegment: HOW TO BUILD CHAINS
   DEBUG: 2026-08-12 00:22:23,357:      pdf_renderer.py:  470: printSegment: Start by making 8 separate chain loops of about 40 links each. Pieces snap either direction
   DEBUG: 2026-08-12 00:22:23,358:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,359:      pdf_renderer.py:  470: printSegment: As you wrap the chain around sprockets to make circuits, add or remove links to shorten or lengthen the chain.
   DEBUG: 2026-08-12 00:22:23,360:      pdf_renderer.py:  470: printSegment: Use the blue links to help you see the circuit
   DEBUG: 2026-08-12 00:22:23,361:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,362:      pdf_renderer.py:  470: printSegment: s speed and direction.
   DEBUG: 2026-08-12 00:22:23,365:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,366:      pdf_renderer.py:  470: printSegment: src="https://i.imgur.com/XPdaSSt.png" alt="Image" width="34%"
   DEBUG: 2026-08-12 00:22:23,367:      pdf_renderer.py:  470: printSegment: /></div>
   DEBUG: 2026-08-12 00:22:23,368:      pdf_renderer.py:  470: printSegment: CHALLENGE 1: RESISTANCE
   DEBUG: 2026-08-12 00:22:23,371:      pdf_renderer.py:  470: printSegment: BUILD THE STARTING SETUP AND TEST THE CIRCUIT. THEN MODIFY THE CIRCUIT TO MAKE IT
   DEBUG: 2026-08-12 00:22:23,372:      pdf_renderer.py:  470: printSegment: RUN SLOWER.
   DEBUG: 2026-08-12 00:22:23,374:      pdf_renderer.py:  470: printSegment: Our first challenge
   DEBUG: 2026-08-12 00:22:23,376:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,377:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-08-12 00:22:23,379:      pdf_renderer.py:  470: printSegment: How exciting
   DEBUG: 2026-08-12 00:22:23,381:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,382:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,383:      pdf_renderer.py:  470: printSegment: First, read the 
   DEBUG: 2026-08-12 00:22:23,384:      pdf_renderer.py:  470: printSegment: challenge
   DEBUG: 2026-08-12 00:22:23,386:      pdf_renderer.py:  470: printSegment:  on the wall.
   DEBUG: 2026-08-12 00:22:23,387:      pdf_renderer.py:  470: printSegment: Next, build the 
   DEBUG: 2026-08-12 00:22:23,388:      pdf_renderer.py:  470: printSegment: starting setup
   DEBUG: 2026-08-12 00:22:23,389:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-08-12 00:22:23,390:      pdf_renderer.py:  470: printSegment: Your job is to figure out how to complete the challenge using the 
   DEBUG: 2026-08-12 00:22:23,391:      pdf_renderer.py:  470: printSegment: available parts
   DEBUG: 2026-08-12 00:22:23,392:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-08-12 00:22:23,393:      pdf_renderer.py:  470: printSegment: STARTING SETUP
   DEBUG: 2026-08-12 00:22:23,401:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,410:      pdf_renderer.py:  470: printSegment: src="https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//d1f8d778-d1a9-4775-96c1-578f49d42e34/markdown_1/imgs/img_in_image_box_207_832_610_1397.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-08-11T07%3A56%3A46Z%2F-1%2F%2Fc08e1a5c67ebdca83e980233070202e00c3d16e85e6ed3404b457c8025f0dd42" alt="Image" width="33%" /></div>
   DEBUG: 2026-08-12 00:22:23,411:      pdf_renderer.py:  470: printSegment: AVAILABLE PARTS
   DEBUG: 2026-08-12 00:22:23,412:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,414:      pdf_renderer.py:  470: printSegment: 1 × 1000 Ω
   DEBUG: 2026-08-12 00:22:23,416:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,417:      pdf_renderer.py:  470: printSegment: 1 × Chain
   DEBUG: 2026-08-12 00:22:23,419:      pdf_renderer.py:  470: printSegment: DIFFICULTY: ★☆☆☆☆
   DEBUG: 2026-08-12 00:22:23,437:      pdf_renderer.py:  470: printSegment: CHALLENGE 2: ANOTHER SOLUTION
   DEBUG: 2026-08-12 00:22:23,440:      pdf_renderer.py:  470: printSegment: BUILD THE STARTING SETUP AND TEST THE CIRCUIT. THEN MODIFY THE CIRCUIT TO MAKE IT
   DEBUG: 2026-08-12 00:22:23,442:      pdf_renderer.py:  470: printSegment: RUN SLOWER.
   DEBUG: 2026-08-12 00:22:23,443:      pdf_renderer.py:  470: printSegment: THIS TIME, SOLVE IT WITHOUT CONNECTING ANY MORE CHAINS TO R1.
   DEBUG: 2026-08-12 00:22:23,444:      pdf_renderer.py:  470: printSegment: Huh? This is the 
   DEBUG: 2026-08-12 00:22:23,480:      pdf_renderer.py:  470: printSegment: same challenge
   DEBUG: 2026-08-12 00:22:23,482:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-08-12 00:22:23,483:      pdf_renderer.py:  470: printSegment: Oh I get it
   DEBUG: 2026-08-12 00:22:23,484:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,485:      pdf_renderer.py:  470: printSegment:  There are 
   DEBUG: 2026-08-12 00:22:23,487:      pdf_renderer.py:  470: printSegment: many possible solutions
   DEBUG: 2026-08-12 00:22:23,490:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-08-12 00:22:23,491:      pdf_renderer.py:  470: printSegment: It doesn
   DEBUG: 2026-08-12 00:22:23,492:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,494:      pdf_renderer.py:  470: printSegment: t matter how you solve challenges 
   DEBUG: 2026-08-12 00:22:23,495:      pdf_renderer.py:  470: printSegment: as long as it works
   DEBUG: 2026-08-12 00:22:23,495:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-08-12 00:22:23,496:      pdf_renderer.py:  470: printSegment: STARTING SETUP
   DEBUG: 2026-08-12 00:22:23,499:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,500:      pdf_renderer.py:  470: printSegment: src="https://i.imgur.com/M3OFFGR.png" alt="Image" width="50%"
   DEBUG: 2026-08-12 00:22:23,501:      pdf_renderer.py:  470: printSegment: /></div>
   DEBUG: 2026-08-12 00:22:23,503:      pdf_renderer.py:  470: printSegment: AVAILABLE PARTS
   DEBUG: 2026-08-12 00:22:23,504:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,505:      pdf_renderer.py:  470: printSegment: 1 × 1000 Ω
   DEBUG: 2026-08-12 00:22:23,505:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,506:      pdf_renderer.py:  470: printSegment: 1 × Chain
   DEBUG: 2026-08-12 00:22:23,507:      pdf_renderer.py:  470: printSegment: DIFFICULTY: ★☆☆☆☆
   DEBUG: 2026-08-12 00:22:23,508:      pdf_renderer.py:  470: printSegment: CHALLENGE 3: ONE CHAIN, TWO RESISTORS
   DEBUG: 2026-08-12 00:22:23,509:      pdf_renderer.py:  470: printSegment: MAKE BOTH RESISTORS TURN CLOCKWISE. YOU HAVE ONLY ONE CHAIN LOOP THIS TIME.
   DEBUG: 2026-08-12 00:22:23,510:      pdf_renderer.py:  470: printSegment: CLOCKWISE = ↻
   DEBUG: 2026-08-12 00:22:23,525:      pdf_renderer.py:  470: printSegment: COUNTERCLOCKWISE = ↺
   DEBUG: 2026-08-12 00:22:23,526:      pdf_renderer.py:  470: printSegment: STARTING SETUP
   DEBUG: 2026-08-12 00:22:23,534:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,543:      pdf_renderer.py:  470: printSegment: src="https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//d1f8d778-d1a9-4775-96c1-578f49d42e34/markdown_3/imgs/img_in_image_box_280_891_624_1510.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-08-11T07%3A56%3A47Z%2F-1%2F%2F42a6dbefd3275b9b5b67ce8021ce7818253f0cfe4dfcd6b90925248c85312da7" alt="Image" width="28%" /></div>
   DEBUG: 2026-08-12 00:22:23,544:      pdf_renderer.py:  470: printSegment: Hmm...
   DEBUG: 2026-08-12 00:22:23,545:      pdf_renderer.py:  470: printSegment: one
   DEBUG: 2026-08-12 00:22:23,546:      pdf_renderer.py:  470: printSegment:  loop of chain for 
   DEBUG: 2026-08-12 00:22:23,547:      pdf_renderer.py:  470: printSegment: two
   DEBUG: 2026-08-12 00:22:23,547:      pdf_renderer.py:  470: printSegment:  resistors?
   DEBUG: 2026-08-12 00:22:23,548:      pdf_renderer.py:  470: printSegment: AVAILABLE PARTS
   DEBUG: 2026-08-12 00:22:23,549:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,550:      pdf_renderer.py:  470: printSegment: 1 × 1000 Ω
   DEBUG: 2026-08-12 00:22:23,551:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,552:      pdf_renderer.py:  470: printSegment: 1 × Chain
   DEBUG: 2026-08-12 00:22:23,553:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,554:      pdf_renderer.py:  470: printSegment: 1 × 500 Ω
   DEBUG: 2026-08-12 00:22:23,555:      pdf_renderer.py:  470: printSegment: DIFFICULTY: ★☆☆☆☆
   DEBUG: 2026-08-12 00:22:23,571:      pdf_renderer.py:  470: printSegment: CHALLENGE 4: CLOCKWISE AND COUNTERCLOCKWISE
   DEBUG: 2026-08-12 00:22:23,573:      pdf_renderer.py:  470: printSegment: MAKE ONE RESISTOR TURN CLOCKWISE WHILE THE OTHER TURNS COUNTERCLOCKWISE.
   DEBUG: 2026-08-12 00:22:23,574:      pdf_renderer.py:  470: printSegment: CLOCKWISE = ↻
   DEBUG: 2026-08-12 00:22:23,575:      pdf_renderer.py:  470: printSegment: COUNTERCLOCKWISE = ↺
   DEBUG: 2026-08-12 00:22:23,576:      pdf_renderer.py:  470: printSegment: Counterclockwise?
   DEBUG: 2026-08-12 00:22:23,576:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,577:      pdf_renderer.py:  470: printSegment: ?
   DEBUG: 2026-08-12 00:22:23,578:      pdf_renderer.py:  470: printSegment:  How is that even possible? The battery turns 
   DEBUG: 2026-08-12 00:22:23,579:      pdf_renderer.py:  470: printSegment: clockwise
   DEBUG: 2026-08-12 00:22:23,580:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2026-08-12 00:22:23,581:      pdf_renderer.py:  470: printSegment: I guess we
   DEBUG: 2026-08-12 00:22:23,582:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,582:      pdf_renderer.py:  470: printSegment: ll need to think 
   DEBUG: 2026-08-12 00:22:23,583:      pdf_renderer.py:  470: printSegment: outside the loop
   DEBUG: 2026-08-12 00:22:23,584:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-08-12 00:22:23,585:      pdf_renderer.py:  470: printSegment: STARTING SETUP
   DEBUG: 2026-08-12 00:22:23,592:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,601:      pdf_renderer.py:  470: printSegment: src="https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//788d1b0c-d5ac-4597-9749-bc8f5e3e9d85/markdown_0/imgs/img_in_image_box_212_836_551_1384.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-08-11T07%3A56%3A30Z%2F-1%2F%2F61344850098d45cdba4039b70bf876757d4f7aaa4307de839228ba215c96ba4c" alt="Image" width="28%" /></div>
   DEBUG: 2026-08-12 00:22:23,602:      pdf_renderer.py:  470: printSegment: AVAILABLE PARTS
   DEBUG: 2026-08-12 00:22:23,603:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,604:      pdf_renderer.py:  470: printSegment: 1 × 1000 Ω
   DEBUG: 2026-08-12 00:22:23,605:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,606:      pdf_renderer.py:  470: printSegment: 1 × Chain
   DEBUG: 2026-08-12 00:22:23,606:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,607:      pdf_renderer.py:  470: printSegment: 1 × 500 Ω
   DEBUG: 2026-08-12 00:22:23,608:      pdf_renderer.py:  470: printSegment: DIFFICULTY: ★★☆☆☆
   DEBUG: 2026-08-12 00:22:23,609:      pdf_renderer.py:  470: printSegment: CHALLENGE 5: COUNTERCLOCKWISE ONLY
   DEBUG: 2026-08-12 00:22:23,610:      pdf_renderer.py:  470: printSegment: MAKE BOTH RESISTORS TURN COUNTERCLOCKWISE.
   DEBUG: 2026-08-12 00:22:23,610:      pdf_renderer.py:  470: printSegment: STARTING SETUP
   DEBUG: 2026-08-12 00:22:23,618:      pdf_renderer.py:  470: printSegment: <div style="text-align: center;"><img
   DEBUG: 2026-08-12 00:22:23,628:      pdf_renderer.py:  470: printSegment: src="https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//788d1b0c-d5ac-4597-9749-bc8f5e3e9d85/markdown_1/imgs/img_in_image_box_95_1068_757_1414.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-08-11T07%3A56%3A30Z%2F-1%2F%2F59adc5a63ad38bbff40b59ba56d9bc70efec732d92f7ceb416fb13d4de15ed48" alt="Image" width="55%" /></div>
   DEBUG: 2026-08-12 00:22:23,629:      pdf_renderer.py:  470: printSegment: Hmm. Sometimes there are 
   DEBUG: 2026-08-12 00:22:23,630:      pdf_renderer.py:  470: printSegment: more parts
   DEBUG: 2026-08-12 00:22:23,631:      pdf_renderer.py:  470: printSegment:  available than you actually 
   DEBUG: 2026-08-12 00:22:23,632:      pdf_renderer.py:  470: printSegment: need
   DEBUG: 2026-08-12 00:22:23,633:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2026-08-12 00:22:23,635:      pdf_renderer.py:  470: printSegment: AVAILABLE PARTS
   DEBUG: 2026-08-12 00:22:23,636:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,637:      pdf_renderer.py:  470: printSegment: 1 × 1000 Ω
   DEBUG: 2026-08-12 00:22:23,638:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,639:      pdf_renderer.py:  470: printSegment: 2 × Chain
   DEBUG: 2026-08-12 00:22:23,639:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-08-12 00:22:23,640:      pdf_renderer.py:  470: printSegment: 1 × 500 Ω
   DEBUG: 2026-08-12 00:22:23,641:      pdf_renderer.py:  470: printSegment: DIFFICULTY: ★★☆☆☆
   DEBUG: 2026-08-12 00:22:23,642:      pdf_renderer.py:  470: printSegment: Tutorial 3: Circuits
   DEBUG: 2026-08-12 00:22:23,643:      pdf_renderer.py:  470: printSegment: Electronic circuits are always made of loops. A power station doesn
   DEBUG: 2026-08-12 00:22:23,644:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-08-12 00:22:23,644:      pdf_renderer.py:  470: printSegment: t 
   DEBUG: 2026-08-12 00:22:23,645:      pdf_renderer.py:  470: printSegment: make
   DEBUG: 2026-08-12 00:22:23,652:      pdf_renderer.py:  470: printSegment:  electrons and send them to a house
   DEBUG: 2026-08-12 00:22:23,654:      pdf_renderer.py:  470: printSegment: through wires, it simply pushes and pulls the electrons that are already in the wires.
